,rmse,rmse,rmse,rmse,rmse,rmse,rmse,rmse,r2,r2,r2,r2,r2,r2,r2,r2
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
model,,,,,,,,,,,,,,,,
LinearRegression,25.0,17.644496357304163,0.16214068897291287,17.323436575948463,17.521014378966655,17.66312499055598,17.77672469891981,17.931845422055442,25.0,0.7342892668790338,0.0046201435681271575,0.724605278378176,0.7324119019469648,0.7339147872991155,0.7381621574777704,0.7419822954293003
Ridge,25.0,17.655994238487263,0.16093625449138416,17.335600887448877,17.52425889222743,17.683839199359447,17.779345139602114,17.937350597786708,25.0,0.7339440872298484,0.004530275833540634,0.7244887645703595,0.731822874144326,0.7335044446154779,0.7373869644231043,0.7416198142710383
