repeat,model,rmse,r2,test_size
1,LinearRegression,17.77672469891981,0.7300634387954004,7030
1,Ridge,17.779345139602114,0.7299838510317921,7030
2,LinearRegression,17.78126771493728,0.728587559145037,7084
2,Ridge,17.788555551846283,0.7283650311465149,7084
3,LinearRegression,17.445178587125998,0.733167375831734,7047
3,Ridge,17.462289106886285,0.7326436914342683,7047
4,LinearRegression,17.484305122937588,0.7339147872991155,6992
4,Ridge,17.49778161922095,0.7335044446154779,6992
5,LinearRegression,17.885912822409367,0.7263666705560845,7043
5,Ridge,17.893375739970736,0.726138275278207,7043
6,LinearRegression,17.85822845589341,0.7324119019469648,7137
6,Ridge,17.87787284736089,0.731822874144326,7137
7,LinearRegression,17.70035228742697,0.7364958974107791,7019
7,Ridge,17.695936078119512,0.7366273687038039,7019
8,LinearRegression,17.809622837706293,0.731939283372774,7182
8,Ridge,17.823820814014525,0.7315117126382759,7182
9,LinearRegression,17.5456509654402,0.7330000451852172,7159
9,Ridge,17.546173230645277,0.732984149865996,7159
10,LinearRegression,17.697023660618598,0.7339714298313578,7036
10,Ridge,17.70917568527059,0.7336059564349048,7036
11,LinearRegression,17.54216958391899,0.7370852587949811,7094
11,Ridge,17.567129251578294,0.7363365562981897,7094
12,LinearRegression,17.323436575948463,0.7419822954293003,7061
12,Ridge,17.335600887448877,0.7416198142710383,7061
13,LinearRegression,17.74841760104615,0.732580455310671,6978
13,Ridge,17.751222381575914,0.7324959280683565,6978
14,LinearRegression,17.459179502197674,0.7385613546142002,7043
14,Ridge,17.467718363907327,0.7383055654642259,7043
15,LinearRegression,17.606473778618906,0.7385539166907906,7016
15,Ridge,17.61341750906725,0.7383476551602159,7016
16,LinearRegression,17.66704093799915,0.7381621574777704,7025
16,Ridge,17.69317399367992,0.7373869644231043,7025
17,LinearRegression,17.66312499055598,0.7327421306797939,7184
17,Ridge,17.683839199359447,0.7321149164727385,7184
18,LinearRegression,17.676724658195628,0.7337736761780167,7043
18,Ridge,17.68902123086925,0.7334031539184619,7043
19,LinearRegression,17.931845422055442,0.7269044289744233,7092
19,Ridge,17.937350597786708,0.7267367195327462,7092
20,LinearRegression,17.56326687793199,0.7394462401653688,7174
20,Ridge,17.586062025281908,0.7387694622400304,7174
21,LinearRegression,17.470489032015774,0.7409066374117518,7022
21,Ridge,17.481328150298122,0.7405850419737977,7022
22,LinearRegression,17.521014378966655,0.7353325959037533,7053
22,Ridge,17.52425889222743,0.7352345654596685,7053
23,LinearRegression,17.865699247021134,0.724605278378176,7004
23,Ridge,17.869478151192467,0.7244887645703595,7004
24,LinearRegression,17.452737966121543,0.7366818824028939,7025
24,Ridge,17.460213952411262,0.7364562462575861,7025
25,LinearRegression,17.63652122659513,0.7399949741894887,7069
25,Ridge,17.665715562560226,0.7391334713421245,7069
