,rmse,r2
count,25.0,25.0
mean,9.680523621438635,0.9199967220328389
std,0.19992768086331805,0.0031590647995001562
min,9.229274973477038,0.9119832256752676
25%,9.55406900169864,0.9184013433167566
50%,9.653110212844895,0.9201502801190093
75%,9.779369652822934,0.92180665933521
max,10.144002239109325,0.9276928349518258
